Word,Count
'Active';,1
flutter_test,1
find,1
route,1
Or,1
invoices,1
erpdevelopment.runasp.net/Api/Purchase/DebitNote/List');,1
productNames[item.productId],1
would,1
scroll,1
management,1
\1',\,1
\erpdevelopment.runasp.net/Api/finance/receipt/$id'),\,1
If,1
fade-in,1
Status,1
filtering,1
\],\,1
You,1
erpdevelopment.runasp.net/Api/inventory/product/$productId');,1
customer_screen.dart,1
\erpdevelopment.runasp.net$endpoint'),\,1
Display,1
fields,1
erpdevelopment.runasp.net/Api/Purchase/DebitNote/$id');,1
Background,1
then,1
mock,1
_productNames[item.productId],1
Recursively,1
unique,1
Events,1
Main,1
Start,1
String,1
user,1
\inactive,\,1
:,1
Source,1
0)),1
children:,1
path,1
Summary,1
Replace,1
_allProducts;,1
context),1
fetch,1
erpdevelopment.runasp.net/Api/Purchase/Supplier/$supplierId');,1
Better,1
Delay,1
Open,1
\screen,\,1
\"\Service"\\,1
splash,1
Image,1
$productNames');,1
List<Product>,1
type,1
3,1
status}),1
\updating,\,1
\"\Commercial"\\,1
erpdevelopment.runasp.net/Api/Purchase/PurchaseInvoice/List');,1
service,1
Text,1
await,1
Red,1
\erpdevelopment.runasp.net/Api/Sales/Quotation/List'),\,1
lighter,1
TextBox,1
Indent,1
debugging,1
\filteredProducts,\,1
Flutter,1
sellPrice,1
\text,\,1
purchasePrice,1
\test,\,1
\empty,\,1
context.read<ProductCubit>().filterProducts(category:,1
emit(ProductLoaded(,1
Event,1
Future<BankAccount>,1
\erpdevelopment.runasp.net/Api/Sales/RecurringInvoice/$id'),\,1
also,1
margin:,1
The,1
IDs,1
filterProducts({String,1
exists,1
(status,1
package,1
warehouses,1
productRepo.fetchProductById(item.productId);,1
call,1
product.categoriesIds.contains(int.tryParse(category))),1
lowercase,1
implemented),1
.map((status),1
'type',1
data,1
SizedBox(height:,1
Quantity,1
\erpdevelopment.runasp.net/Api/Sales/RecurringInvoice/List'),\,1
Transactions,1
Clients,1
Tap,1
SizedBox(width:,1
basic,1
2:,1
\Clean,\,1
has,1
better,1
\product,\,1
'0',1
image,1
\erpdevelopment.runasp.net/Api/finance/expense/list'),\,1
Initialize,1
(including,1
read,1
some,1
);,1
Names:,1
properties,1
(isActive,1
expanded,1
requested,1
\erpdevelopment.runasp.net/Api/finance/receipt/list'),\,1
print(),1
Temporary,1
AccountTree,1
erpdevelopment.runasp.net';,1
Forgot,1
erpdevelopment.runasp.net/Api/Purchase/PurchaseInvoice/$id');,1
pagination,1
id,1
\"\InStock"\\,1
\erpdevelopment.runasp.net/Api/Customers/Customer/GetCustomerTypeById/$customerId'),\,1
erpdevelopment.runasp.net/Api/Purchase/PurchaseReturn/List');,1
permissions,1
customer,1
deleteBankAccount(int,1
not,1
(cannot,1
erpdevelopment.runasp.net/Api/Purchase/PurchaseReturn/$id');,1
methods,1
Track,1
lib/features/auth/widgets/custom_button.dart,1
'as,1
Slightly,1
activity,1
hasNextPage:,1
\erpdevelopment.runasp.net/Api/finance/bankAccount/$id'),\,1
\creating,\,1
deleting,1
\erpdevelopment.runasp.net/Api/sales/invoice/$invoiceId'),\,1
pw',1
controller,1
\erpdevelopment.runasp.net/Api/finance/bankAccount/list'),\,1
_buildFilters(BuildContext,1
opened),1
represents,1
productOrService,1
\8),\,1
Form,1
9:,1
Simple,1
have,1
starts,1
specified,1
dynamic,1
\_hasPreviousPage,\,1
Input,1
left,1
context,1
createBankAccount(BankAccount,1
entry,1
12:,1
are,1
correct,1
lowestSellingPrice,1
Name,1
[,1
incremented,1
'+',1
internalNotes,1
texts,1
Widget,1
utility,1
hierarchical,1
alias,1
\erpdevelopment.runasp.net/Api/Customers/Customer/list'),\,1
updateBankAccount(BankAccount,1
module/sub-module,1
controls,1
Row(,1
test,1
(previous,1
3:,1
Flatten,1
Example:,1
Drawer,1
Recipts,1
8:,1
fade-out,1
EdgeInsets.symmetric(vertical:,1
print(ok);,1
Location,1
lookup),1
\'Category',\,1
its,1
Account,1
categoriesIds,1
matches,1
Date,1
To,1
verify,1
Top,1
Corrected,1
opacity,1
expandable,1
\_hasNextPage,\,1
observer,1
readability,1
event,1
products:,1
Products,1
Fade,1
\_currentPage,\,1
perform,1
Reference,1
(next,1
\_totalPages,\,1
\"\Individual"\\,1
Null,1
(category,1
erpdevelopment.runasp.net/Api/inventory/product-and-service/Paginated');,1
Expandable,1
2'],1
Type,1
Log,1
Daily,1
fade,1
overlay,1
childAccounts,1
\_buildFilters(context),\,1
implement,1
\'Status',\,1
modern,1
Notify,1
hasPreviousPage:,1
Inactive,1
send,1
from,1
widgets,1
\'Active',\,1
employee.dart,1
7:,1
placeholder,1
'Inactive'],1
loaded,1
\erpdevelopment.runasp.net/Api/finance/expense/$id'),\,1
Bottom,1
creates,1
));,1
active,1
bank_account.dart,1
This,1
\Active,\,1
right,1
WarehousePermission,1
\erpdevelopment.runasp.net/Api/Sales/Quotation/$id'),\,1
Tween,1
Kept,1
isActive,1
1:,1
\tree,\,1
Pass,1
customer_entity.dart,1
4:,1
,1
